instance_name,instance_type,CPUUtilization,NetworkIn,NetworkOut
centos-nginx-brotli,t2.micro,1.403256994784607,854764951.8571428,249457314.0
rhel-dev-consul,t2.medium,1.3830563858380984,91323879.28571428,92053060.14285715
windows-risk-jump,t3.large,6.015873015873018,22899339.0,53783316.28571428
windows-jump,t2.large,8.994408781920837,205776396.2857143,187760498.57142857
rhel-sonarqube,t2.medium,0.9875498478377943,116604116.85714285,75195059.0
ubuntu-ES-master,t2.xlarge,6.510762438069568,12155436201.142857,6214999193.428572
rhel-nexus,t3.small,0.0032738095238095248,20804726.42857143,54639212.71428572
rhel-gitlab-new,t3.xlarge,1.062797619047617,30600316.57142857,361455934.14285713
rhel-zipkin,t3.medium,0.4818724698589181,4147628516.714286,7449164766.714286
centos-prometheus,t2.large,0.16827278004489346,36783250.14285714,5573995.714285715
rhel-risk-dev-node2,t3.large,0.15235823424114558,15390600.75,16142067.75
rhel-ci-consul-app,t2.2xlarge,2.515340984437707,877273320.8571428,575323626.2857143
centos-nginx-kibana,t2.micro,0.33567936558200173,77456611.85714285,66903141.0
rhel-otter_manager(paytest_uat),m5.large,0.005361834117049699,513748629.5714286,643878580.8571428
centos-h5-reg,t2.micro,0.3069751192101891,22015183.0,28407923.14285714
rhel-harbor,t3.medium,1.655357142857143,500314297.14285713,2600012996.857143
rhel-jenkins,t3.xlarge,0.5006813456214083,175424527.2857143,725890207.4285715
ubuntu-Jump-linux-ss-ap-southeast-1b,t3.micro,0.45992063492063473,108670539.14285715,111141535.0
ubuntu-ES-data1,t2.xlarge,6.548356166807863,3702688341.714286,4993787354.571428
ubuntu-ES-data2,t2.xlarge,6.684011872364239,3716558553.714286,5158288891.428572
rhel-config,t2.medium,10.351545985343936,144119057.85714287,161829372.7142857
ubuntu-zabbix-server,t2.large,5.474845735076071,13226199718.285715,3073844956.714286
centos-ops-env,t2.medium,1.8478929001115412,404357119.14285713,183604678.2857143
rhel-risk-dev-node1,t3.2xlarge,1.05096618357488,17401069.0,23723712.75
